Medidas de prevención del VIH/sida;Opinión sobre su eficacia;Sexo;Frecuencia de salidas nocturnas en los últimos 12 meses;Total
Elegir correctamente las parejas;Eficaz;Mujeres;Al menos 1 vez al mes;3.574,70
Elegir correctamente las parejas;Eficaz;Mujeres;Menos de 1 vez al mes;2.333,00
Elegir correctamente las parejas;Eficaz;Mujeres;No consta;6,4
Elegir correctamente las parejas;No eficaz;Ambos sexos;Total;7.006,20
Elegir correctamente las parejas;No eficaz;Ambos sexos;Al menos 1 vez al mes;4.695,60
Elegir correctamente las parejas;No eficaz;Ambos sexos;Menos de 1 vez al mes;2.291,00
Elegir correctamente las parejas;No eficaz;Ambos sexos;No consta;19,6
Elegir correctamente las parejas;No eficaz;Varones;Total;3.178,20
Elegir correctamente las parejas;No eficaz;Varones;Al menos 1 vez al mes;2.286,70
Elegir correctamente las parejas;No eficaz;Varones;Menos de 1 vez al mes;886,5
Elegir correctamente las parejas;No eficaz;Varones;No consta;5
Elegir correctamente las parejas;No eficaz;Mujeres;Total;3.828,00
Elegir correctamente las parejas;No eficaz;Mujeres;Al menos 1 vez al mes;2.408,90
Elegir correctamente las parejas;No eficaz;Mujeres;Menos de 1 vez al mes;1.404,50
Elegir correctamente las parejas;No eficaz;Mujeres;No consta;14,6
Elegir correctamente las parejas;No consta;Ambos sexos;Total;885,1
Elegir correctamente las parejas;No consta;Ambos sexos;Al menos 1 vez al mes;439
Elegir correctamente las parejas;No consta;Ambos sexos;Menos de 1 vez al mes;418,9
Elegir correctamente las parejas;No consta;Ambos sexos;No consta;27,2
Elegir correctamente las parejas;No consta;Varones;Total;399,7
Elegir correctamente las parejas;No consta;Varones;Al menos 1 vez al mes;229,6
Elegir correctamente las parejas;No consta;Varones;Menos de 1 vez al mes;158
Elegir correctamente las parejas;No consta;Varones;No consta;12,1
Elegir correctamente las parejas;No consta;Mujeres;Total;485,3
Elegir correctamente las parejas;No consta;Mujeres;Al menos 1 vez al mes;209,4
Elegir correctamente las parejas;No consta;Mujeres;Menos de 1 vez al mes;260,8
Elegir correctamente las parejas;No consta;Mujeres;No consta;15,1
Tener pocas parejas;Total;Ambos sexos;Total;20.759,60
Tener pocas parejas;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
