Medidas de prevención del VIH/sida;Opinión sobre su eficacia;Sexo;Frecuencia de salidas nocturnas en los últimos 12 meses;Total
Preguntar a las parejas por su pasado sexual;No eficaz;Varones;Total;5.978,40
Preguntar a las parejas por su pasado sexual;No eficaz;Varones;Al menos 1 vez al mes;4.282,00
Preguntar a las parejas por su pasado sexual;No eficaz;Varones;Menos de 1 vez al mes;1.682,20
Preguntar a las parejas por su pasado sexual;No eficaz;Varones;No consta;14,2
Preguntar a las parejas por su pasado sexual;No eficaz;Mujeres;Total;5.394,70
Preguntar a las parejas por su pasado sexual;No eficaz;Mujeres;Al menos 1 vez al mes;3.232,40
Preguntar a las parejas por su pasado sexual;No eficaz;Mujeres;Menos de 1 vez al mes;2.145,10
Preguntar a las parejas por su pasado sexual;No eficaz;Mujeres;No consta;17,2
Preguntar a las parejas por su pasado sexual;No consta;Ambos sexos;Total;936,7
Preguntar a las parejas por su pasado sexual;No consta;Ambos sexos;Al menos 1 vez al mes;460,9
Preguntar a las parejas por su pasado sexual;No consta;Ambos sexos;Menos de 1 vez al mes;452,6
Preguntar a las parejas por su pasado sexual;No consta;Ambos sexos;No consta;23,2
Preguntar a las parejas por su pasado sexual;No consta;Varones;Total;472,8
Preguntar a las parejas por su pasado sexual;No consta;Varones;Al menos 1 vez al mes;280,6
Preguntar a las parejas por su pasado sexual;No consta;Varones;Menos de 1 vez al mes;182,7
Preguntar a las parejas por su pasado sexual;No consta;Varones;No consta;9,5
Preguntar a las parejas por su pasado sexual;No consta;Mujeres;Total;463,9
Preguntar a las parejas por su pasado sexual;No consta;Mujeres;Al menos 1 vez al mes;180,4
Preguntar a las parejas por su pasado sexual;No consta;Mujeres;Menos de 1 vez al mes;269,9
Preguntar a las parejas por su pasado sexual;No consta;Mujeres;No consta;13,6
Usar un preservativo femenino;Total;Ambos sexos;Total;20.759,60
Usar un preservativo femenino;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
Usar un preservativo femenino;Total;Ambos sexos;Menos de 1 vez al mes;6.929,10
Usar un preservativo femenino;Total;Ambos sexos;No consta;71,1
Usar un preservativo femenino;Total;Varones;Total;10.532,10
Usar un preservativo femenino;Total;Varones;Al menos 1 vez al mes;7.566,40
Usar un preservativo femenino;Total;Varones;Menos de 1 vez al mes;2.930,70
Usar un preservativo femenino;Total;Varones;No consta;35
Usar un preservativo femenino;Total;Mujeres;Total;10.227,50
Usar un preservativo femenino;Total;Mujeres;Al menos 1 vez al mes;6.193,00
Usar un preservativo femenino;Total;Mujeres;Menos de 1 vez al mes;3.998,40
Usar un preservativo femenino;Total;Mujeres;No consta;36,1
Usar un preservativo femenino;Eficaz;Ambos sexos;Total;10.246,20
Usar un preservativo femenino;Eficaz;Ambos sexos;Al menos 1 vez al mes;7.087,10
Usar un preservativo femenino;Eficaz;Ambos sexos;Menos de 1 vez al mes;3.135,00
Usar un preservativo femenino;Eficaz;Ambos sexos;No consta;24,1
Usar un preservativo femenino;Eficaz;Varones;Total;5.173,00
Usar un preservativo femenino;Eficaz;Varones;Al menos 1 vez al mes;3.888,00
Usar un preservativo femenino;Eficaz;Varones;Menos de 1 vez al mes;1.271,10
Usar un preservativo femenino;Eficaz;Varones;No consta;13,9
Usar un preservativo femenino;Eficaz;Mujeres;Total;5.073,20
Usar un preservativo femenino;Eficaz;Mujeres;Al menos 1 vez al mes;3.199,10
Usar un preservativo femenino;Eficaz;Mujeres;Menos de 1 vez al mes;1.863,90
Usar un preservativo femenino;Eficaz;Mujeres;No consta;10,2
Usar un preservativo femenino;No eficaz;Ambos sexos;Total;8.395,00
Usar un preservativo femenino;No eficaz;Ambos sexos;Al menos 1 vez al mes;5.515,50
Usar un preservativo femenino;No eficaz;Ambos sexos;Menos de 1 vez al mes;2.859,80
Usar un preservativo femenino;No eficaz;Ambos sexos;No consta;19,7
Usar un preservativo femenino;No eficaz;Varones;Total;4.296,30
Usar un preservativo femenino;No eficaz;Varones;Al menos 1 vez al mes;3.037,60
Usar un preservativo femenino;No eficaz;Varones;Menos de 1 vez al mes;1.250,70
Usar un preservativo femenino;No eficaz;Varones;No consta;8
Usar un preservativo femenino;No eficaz;Mujeres;Total;4.098,70
Usar un preservativo femenino;No eficaz;Mujeres;Al menos 1 vez al mes;2.477,90
Usar un preservativo femenino;No eficaz;Mujeres;Menos de 1 vez al mes;1.609,10
Usar un preservativo femenino;No eficaz;Mujeres;No consta;11,7
Usar un preservativo femenino;No consta;Ambos sexos;Total;2.118,40
Usar un preservativo femenino;No consta;Ambos sexos;Al menos 1 vez al mes;1.156,80
Usar un preservativo femenino;No consta;Ambos sexos;Menos de 1 vez al mes;934,3
Usar un preservativo femenino;No consta;Ambos sexos;No consta;27,3
Usar un preservativo femenino;No consta;Varones;Total;1.062,80
Usar un preservativo femenino;No consta;Varones;Al menos 1 vez al mes;640,8
Usar un preservativo femenino;No consta;Varones;Menos de 1 vez al mes;408,9
Usar un preservativo femenino;No consta;Varones;No consta;13,1
Usar un preservativo femenino;No consta;Mujeres;Total;1.055,60
Usar un preservativo femenino;No consta;Mujeres;Al menos 1 vez al mes;516
Usar un preservativo femenino;No consta;Mujeres;Menos de 1 vez al mes;525,4
Usar un preservativo femenino;No consta;Mujeres;No consta;14,1
